epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,4265.29,0.4311,0.34164,1.04785,0.81595,0.89606,0.90598,0.76359,0.67055,0.65386,1.4505,0.0052975,0.0052975,0.0052975
97,4309.67,0.43194,0.33524,1.04927,0.81618,0.91189,0.9063,0.77135,0.66543,0.57585,1.46335,0.005248,0.005248,0.005248
98,4352.73,0.42794,0.33282,1.05101,0.85955,0.86484,0.90385,0.76596,0.6669,0.61083,1.45941,0.0051985,0.0051985,0.0051985
99,4397.88,0.4254,0.33881,1.04656,0.79484,0.90288,0.89757,0.75707,0.67565,0.64353,1.4805,0.005149,0.005149,0.005149
100,4442.41,0.41899,0.32723,1.04008,0.81362,0.87799,0.90398,0.76032,0.6767,0.63055,1.48785,0.0050995,0.0050995,0.0050995
101,4486.39,0.4162,0.32765,1.04399,0.79533,0.92008,0.89048,0.7551,0.67306,0.63811,1.48779,0.00505,0.00505,0.00505
102,4529.95,0.41069,0.32332,1.04003,0.79769,0.91287,0.89727,0.7609,0.67509,0.67152,1.49786,0.0050005,0.0050005,0.0050005
103,4574.43,0.41481,0.32556,1.03847,0.81755,0.88449,0.88609,0.74751,0.68122,0.67006,1.51013,0.004951,0.004951,0.004951
104,4618.34,0.41332,0.32235,1.04038,0.80413,0.90267,0.8976,0.76033,0.67882,0.65036,1.49547,0.0049015,0.0049015,0.0049015
105,4661.62,0.41174,0.32993,1.04164,0.80164,0.91321,0.89674,0.75529,0.6762,0.63495,1.49699,0.004852,0.004852,0.004852
106,4705.89,0.40488,0.32132,1.03635,0.83682,0.88967,0.90539,0.76931,0.67106,0.60436,1.49693,0.0048025,0.0048025,0.0048025
107,4751.41,0.4011,0.31477,1.03121,0.83275,0.89802,0.90335,0.76535,0.67507,0.60881,1.50303,0.004753,0.004753,0.004753
108,4796.49,0.40723,0.31582,1.03687,0.8134,0.86296,0.90123,0.76244,0.6705,0.6721,1.48237,0.0047035,0.0047035,0.0047035
109,4839.97,0.40493,0.31668,1.03233,0.82643,0.85998,0.88405,0.75155,0.67174,0.69611,1.47725,0.004654,0.004654,0.004654
110,4885.25,0.396,0.30974,1.02731,0.83884,0.891,0.90018,0.76633,0.66649,0.61722,1.49421,0.0046045,0.0046045,0.0046045
111,4929.1,0.39553,0.30661,1.02808,0.83587,0.9032,0.90805,0.77196,0.66558,0.60915,1.49695,0.004555,0.004555,0.004555
112,4972.87,0.38935,0.30739,1.02498,0.85711,0.86887,0.9,0.76589,0.66582,0.6251,1.49742,0.0045055,0.0045055,0.0045055
113,5016.39,0.39264,0.30723,1.02581,0.83882,0.90036,0.89982,0.76531,0.66509,0.62038,1.4956,0.004456,0.004456,0.004456
114,5061.91,0.39066,0.29918,1.02395,0.82648,0.90337,0.90035,0.76471,0.66926,0.64469,1.5088,0.0044065,0.0044065,0.0044065
115,5106.06,0.38905,0.30004,1.02229,0.8389,0.89011,0.89697,0.75967,0.67628,0.62752,1.51947,0.004357,0.004357,0.004357
116,5149.56,0.38382,0.29663,1.01923,0.81788,0.90165,0.8969,0.75724,0.67461,0.6554,1.51267,0.0043075,0.0043075,0.0043075
117,5193.84,0.38225,0.29638,1.01781,0.80091,0.92655,0.90017,0.76102,0.67453,0.64891,1.50935,0.004258,0.004258,0.004258
118,5243.46,0.38177,0.29566,1.01614,0.81755,0.89785,0.89489,0.7574,0.67612,0.6585,1.52273,0.0042085,0.0042085,0.0042085
119,5291.42,0.37678,0.29118,1.01574,0.84586,0.86502,0.90114,0.76398,0.67258,0.65489,1.52045,0.004159,0.004159,0.004159
120,5338.15,0.37439,0.2989,1.01449,0.82238,0.91111,0.90819,0.76905,0.67031,0.61782,1.51328,0.0041095,0.0041095,0.0041095
121,5383.92,0.37339,0.28772,1.0147,0.8519,0.85215,0.90277,0.76591,0.66631,0.66088,1.49876,0.00406,0.00406,0.00406
122,5427.11,0.366,0.28272,1.00679,0.81179,0.90875,0.90696,0.76715,0.67181,0.64487,1.51953,0.0040105,0.0040105,0.0040105
123,5472.33,0.36892,0.28566,1.01336,0.81646,0.90192,0.89583,0.76036,0.67255,0.68007,1.52849,0.003961,0.003961,0.003961
124,5515.13,0.36028,0.28484,1.00815,0.83646,0.87907,0.89652,0.75667,0.67384,0.67025,1.53863,0.0039115,0.0039115,0.0039115
125,5558.82,0.36463,0.28282,1.00838,0.87584,0.84487,0.9026,0.76154,0.67809,0.66572,1.55696,0.003862,0.003862,0.003862
126,5603.14,0.36012,0.27347,1.0036,0.8737,0.8572,0.90787,0.76484,0.67877,0.6346,1.56197,0.0038125,0.0038125,0.0038125
127,5648.02,0.35519,0.27496,1.00435,0.86966,0.86116,0.90808,0.76803,0.67386,0.6331,1.55667,0.003763,0.003763,0.003763
128,5692.04,0.35633,0.27424,1.00285,0.88983,0.85019,0.91086,0.77284,0.67187,0.61685,1.54982,0.0037135,0.0037135,0.0037135
129,5736.29,0.35223,0.27018,1.00177,0.87338,0.86437,0.90735,0.76716,0.67293,0.61074,1.54973,0.003664,0.003664,0.003664
130,5779.92,0.35632,0.27041,1.00338,0.88047,0.86029,0.90287,0.76396,0.66903,0.60346,1.53883,0.0036145,0.0036145,0.0036145
131,5823.91,0.34757,0.27066,0.99667,0.8171,0.91871,0.89879,0.75996,0.6727,0.61819,1.54404,0.003565,0.003565,0.003565
132,5867.86,0.34648,0.26886,0.99776,0.80948,0.91009,0.89843,0.75915,0.66974,0.62127,1.5459,0.0035155,0.0035155,0.0035155
133,5911.12,0.34923,0.26978,0.99925,0.80607,0.91538,0.90273,0.76323,0.66943,0.6253,1.54506,0.003466,0.003466,0.003466
134,5955.04,0.3455,0.26155,0.99255,0.80805,0.92043,0.90787,0.76754,0.66986,0.61335,1.54993,0.0034165,0.0034165,0.0034165
135,5998.67,0.3439,0.26241,0.99314,0.81225,0.90938,0.90533,0.76428,0.67422,0.62492,1.5635,0.003367,0.003367,0.003367
136,6042.69,0.34372,0.26396,0.9947,0.85928,0.85845,0.90669,0.76744,0.67094,0.61736,1.56301,0.0033175,0.0033175,0.0033175
137,6087.55,0.3405,0.26509,0.9959,0.85406,0.86171,0.90305,0.76637,0.66908,0.62254,1.56113,0.003268,0.003268,0.003268
138,6131.34,0.33918,0.2604,0.99359,0.87579,0.84266,0.90197,0.76382,0.67167,0.61718,1.56772,0.0032185,0.0032185,0.0032185
139,6174.79,0.33389,0.25887,0.98781,0.8162,0.90786,0.90348,0.76486,0.67043,0.61534,1.57664,0.003169,0.003169,0.003169
140,6219.39,0.32997,0.25388,0.98815,0.82695,0.89089,0.90375,0.76403,0.6724,0.62368,1.57944,0.0031195,0.0031195,0.0031195
141,6263.97,0.33247,0.25127,0.98753,0.80922,0.91505,0.9041,0.76324,0.67798,0.62581,1.58558,0.00307,0.00307,0.00307
142,6308.03,0.33264,0.25691,0.99123,0.80152,0.92001,0.90432,0.76514,0.67935,0.61262,1.58334,0.0030205,0.0030205,0.0030205
143,6353.39,0.32727,0.25105,0.984,0.80274,0.91328,0.90517,0.76488,0.67878,0.60565,1.582,0.002971,0.002971,0.002971
